####Expressed areas of accelerated element-associated genes in the brain. Area X = area X of the striatum; HVC = letter based name; RA = robust nucleus of the arcopallium; and, + = expression of gene.																	
The lowest and highest p-values (4th and 5th columns) are from the phyloP results of comparing each VL species to 9 non-VL species.																	
Chromosome positions and ENSMEBL ID are according to the zebra finch genome																	
Chromosome	Window size	Start	End	Lowest Pval	Highest Pval	Associated Gene	Distance to gene	Location	Gene Description	Gene Symbol	In songbird brain	In song nuclei	Singing regulated	RA specialized birds and human LMC	Area X specialized	HVC specialized	Differential between song nuclei
5	50bp	27460630	27460677	0.0007	0.0232	ENSTGUG00000011473	0	intron	DDB1- and CUL4-associated factor 5	DCAF5							
4A	100bp	18567862	18568003	0.00001	0.00811	ENSTGUG00000006180	0	intron	Neuronal migration protein doublecortin	DCX	+	+					+
2	100bp	144555753	144555862	0.00012	0.04841	ENSTGUG00000012415	9463	3'flanking	Derlin-1	DERL1	+	+					
2	50bp	144555753	144555803	0.00048	0.03447	ENSTGUG00000012415	9522	3'flanking	Derlin-1	DERL1	+	+					
21	100bp	1283795	1283903	0.00039	0.03926	ENSTGUG00000002492	916	3'flanking	Short-chain dehydrogenase/reductase 3	DHRS3	+	+					
21	50bp	1287835	1287885	0.00012	0.03257	ENSTGUG00000002492	0	intron	Short-chain dehydrogenase/reductase 3	DHRS3	+	+					
6	50bp	33319685	33319732	0.00079	0.0441	ENSTGUG00000011493	0	intron	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32	DHX32							
6	50bp	33323138	33323185	0.00259	0.04076	ENSTGUG00000011493	0	intron	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX32	DHX32							
5	50bp	46865444	46865514	0.00133	0.03267	ENSTGUG00000012658	251	3'flanking	Endoribonuclease Dicer	DICER1	+	+					
10	100bp	9119183	9119331	0.00225	0.02715	ENSTGUG00000007026	0	CDS,intron	DmX-like protein 2	DMXL2	+	+					+
10	50bp	9119233	9119283	0.0001	0.00508	ENSTGUG00000007026	0	CDS	DmX-like protein 2	DMXL2	+	+					+
14	100bp	15603382	15603482	0.00216	0.0457	ENSTGUG00000009160	0	CDS,intron	Dynein heavy chain 3, axonemal	DNAH3							+
Z	100bp	38389821	38389907	0.00216	0.03041	ENSTGUG00000001720	0	intron	Dynein intermediate chain 1, axonemal	Dnai1	+						
13	100bp	15441106	15441199	0.00371	0.04056	ENSTGUG00000001528	0	intron	Dedicator of cytokinesis protein 2	DOCK2							
1A	50bp	26598304	26598349	0.00128	0.04134	ENSTGUG00000005488	0	intron	Dedicator of cytokinesis protein 4	Dock4	+	+				+	+
1	50bp	40025629	40025679	0.00153	0.02841	ENSTGUG00000010967	0	intron	Dedicator of cytokinesis protein 9	Dock9	+	+					+
7	50bp	31505873	31505939	0.00027	0.02765	ENSTGUG00000011635	4113	3'flanking	Inactive dipeptidyl peptidase 10	DPP10							
7	50bp	31695691	31695740	0.00141	0.04353	ENSTGUG00000011635	0	CDS,intron	Inactive dipeptidyl peptidase 10	DPP10	+	+				+	+
8	100bp	8991012	8991153	0.00195	0.02726	ENSTGUG00000005495	0	intron	Dihydropyrimidine dehydrogenase [NADP(+)]	DPYD	+				+		
8	50bp	8939901	8939951	0.00235	0.02827	ENSTGUG00000005495	0	intron	Dihydropyrimidine dehydrogenase [NADP(+)]	DPYD	+				+		
6	100bp	17770278	17770385	0.00005	0.04915	ENSTGUG00000008206	0	intron	Dorsal root ganglia homeobox protein	Drgx							
Z	100bp	70732025	70732103	0.00188	0.04985	ENSTGUG00000006826	0	intron	EGF-like repeat and discoidin I-like domain-containing protein 3	EDIL3	+	+				+	+
1A	100bp	43918792	43918858	0.00226	0.03932	ENSTGUG00000008213	0	intron	Early endosome antigen 1	EEA1	+	+					
1A	50bp	43918802	43918847	0.00089	0.04642	ENSTGUG00000008213	0	intron	Early endosome antigen 1	EEA1	+	+					
1	50bp	84661152	84661201	0.00001	0.02745	ENSTGUG00000012982	0	intron	Polycomb protein EED	EED	+	+					
Z	100bp	19169659	19169752	0.00366	0.0417	ENSTGUG00000000956	0	CDS,intron	Ephrin-A5	EFNA5	+	+					
5	50bp	2835212	2835262	0.00176	0.03207	ENSTGUG00000004816	0	intron	Elongator complex protein 4	ELP4	+	+	+				
5	50bp	2898018	2898061	0.00006	0.03393	ENSTGUG00000004816	0	intron	Elongator complex protein 4	ELP4	+	+	+				
Z	50bp	21005530	21005580	0.00252	0.04143	ENSTGUG00000001008	0	CDS,intron	Band 4.1-like protein 4A	EPB41L4A	+	+					+
2	100bp	89479102	89479202	0.01553	0.04081	ENSTGUG00000008100	0	intron	Band 4.1-like protein 4B	EPB41L4B	+	+				+	
1	50bp	100412652	100412702	0.00293	0.04316	ENSTGUG00000013491	365	5'flanking	Ephrin type-A receptor 3	EPHA3	+	+			+		+
1	50bp	100555106	100555156	0.00119	0.02315	ENSTGUG00000013491	0	intron	Ephrin type-A receptor 3	EPHA3	+	+			+		+
1	50bp	102053992	102054042	0.00013	0.03298	ENSTGUG00000013496	0	CDS,intron	Ephrin type-A receptor 6	EPHA6							
3	50bp	76209715	76209766	0.02649	0.04985	ENSTGUG00000012333	0	intron	Ephrin type-A receptor 7	EPHA7	+	+			+		+
8	100bp	10690464	10690587	0.00043	0.04868	ENSTGUG00000006106	0	intron	Epoxide hydrolase 4	EPHX4							
11	50bp	7045457	7045507	0.00038	0.01339	ENSTGUG00000006986	0	intron	Epithelial splicing regulatory protein 2	ESRP2							
2	100bp	142415684	142415784	0.00006	0.04141	ENSTGUG00000012328	0	intron	Exostosin-1	EXT1	+	+					
4A	50bp	722123	722183	0.00446	0.0326	ENSTGUG00000002174	0	CDS	Coagulation factor IX	F9	+	+					+
6	100bp	6173834	6173983	0.00001	0.02532	ENSTGUG00000005544	3062	5'flanking	Protein FAM13C	FAM13C	+	+	+				
6	100bp	6195037	6195133	0.00002	0.04149	ENSTGUG00000005544	0	intron	Protein FAM13C	FAM13C	+	+	+				
6	50bp	6173844	6173903	0.00024	0.00628	ENSTGUG00000005544	3142	5'flanking	Protein FAM13C	FAM13C	+	+	+				
1A	100bp	32054633	32054729	0.00007	0.04758	ENSTGUG00000006262	0	intron	Protein FAM19A2	FAM19A2	+	+				+	+
1A	50bp	16534208	16534247	0.0057	0.0255	ENSTGUG00000003824	0	intron	Protein FAM19A5	Fam19a5	+	+	+				+
18	100bp	2175510	2175608	0.00422	0.04166	ENSTGUG00000004080	7038	5'flanking	Protein FAM20A	FAM20A							
19	50bp	6428910	6428956	0.00447	0.046	ENSTGUG00000005393	0	intron	Leucine-rich repeat-containing protein FAM211A	FAM211A							
1	100bp	80879948	80880047	0.00102	0.03886	ENSTGUG00000012873	0	intron	Protocadherin Fat 3	FAT3	+	+				+	+
1	50bp	80642200	80642241	0.00003	0.03004	ENSTGUG00000012873	0	intron	Protocadherin Fat 3	FAT3	+	+				+	+
13_random	50bp	1432942	1432991	0.00359	0.04637	ENSTGUG00000014702	0	intron	Fibroblast growth factor 18	Fgf18	+	+					
5	50bp	5292540	5292590	0.00001	0.03223	ENSTGUG00000005374	8939	5'flanking	Fibroblast growth factor 19	FGF19	+	+					
8	50bp	24497678	24497728	0.00002	0.03545	ENSTGUG00000009695	0	intron	FGGY carbohydrate kinase domain-containing protein	Fggy							
2	100bp	85686299	85686399	0.00001	0.02814	ENSTGUG00000007929	0	CDS	Fidgetin-like protein 1	FIGNL1							
2	50bp	85686299	85686349	0.00643	0.04642	ENSTGUG00000007929	0	CDS	Fidgetin-like protein 1	FIGNL1							
1	50bp	118305793	118305843	0.00404	0.0102	ENSTGUG00000013634	0	CDS	Filamin A-interacting protein 1-like	FILIP1L	+	+			+		
15	50bp	4458905	4458945	0.00018	0.01	ENSTGUG00000007235	0	intron	Forkhead box protein N4	FOXN4							
12	100bp	17372755	17372860	0.02548	0.03425	ENSTGUG00000009872	6634	5'flanking	Forkhead box protein P1	FOXP1	+	+				+	+
13	100bp	10751326	10751476	0.00004	0.01759	ENSTGUG00000001305	0	intron	Follistatin-related protein 4	FSTL4	+	+				+	+
13	50bp	10751386	10751424	0.00467	0.03477	ENSTGUG00000001305	0	intron	Follistatin-related protein 4	FSTL4	+	+				+	+
15	50bp	620718	620777	0.00004	0.0143	ENSTGUG00000004812	3685	3'flanking	Frizzled-10	FZD10	+	+	+				
4A	50bp	19240525	19240575	0.00518	0.04977	ENSTGUG00000006374	555	3'flanking	Gamma-aminobutyric acid receptor subunit gamma-4	GABRG4							
3	100bp	30081808	30081917	0.00595	0.04551	ENSTGUG00000007730	0	intron	Glucagon-like peptide 1 receptor	Glp1r	+	+					
13	100bp	6380572	6380670	0.00001	0.04374	ENSTGUG00000000749	0	intron	Glycine receptor subunit alpha-1	GLRA1	+	+					
23	50bp	77995	78045	0.00349	0.0259	ENSTGUG00000000731	0	intron	Glucocorticoid modulatory element-binding protein 1	GMEB1	+	+					
4A	50bp	7400606	7400656	0.00006	0.04422	ENSTGUG00000002973	0	intron	Glypican-3	GPC3						+	
5	100bp	28477694	28477794	0.00287	0.02804	ENSTGUG00000011577	0	intron	Gephyrin	GPHN	+	+					+
6	100bp	20715521	20715604	0.00205	0.02507	ENSTGUG00000009101	0	intron	Probable G-protein coupled receptor 125	GPR125	+	+					
8	50bp	21993832	21993876	0.00007	0.03448	ENSTGUG00000009054	0	intron	Glutathione peroxidase 7	GPX7	+						
1A	50bp	47915735	47915781	0.00005	0.04081	ENSTGUG00000009456	0	intron	Glutamate [NMDA] receptor subunit epsilon-2	GRIN2B	+	+	+				+
4	100bp	62058633	62058753	0.00362	0.04898	ENSTGUG00000010430	0	intron	G protein-coupled receptor kinase 4	GRK4							
1A	50bp	50524212	50524264	0.00353	0.04155	ENSTGUG00000010342	0	intron	GTP-binding protein 1	Gtpbp1	+	+	+				
3	100bp	76388940	76389040	0.00008	0.03842	ENSTGUG00000012358	9387	5'flanking	HERV-K_3q27.3 provirus ancestral Pol protein	H0ZQ36							
13	50bp	9527741	9527781	0.0001	0.03582	ENSTGUG00000001246	5860	5'flanking	Core histone macro-H2A.1	H2AFY	+	+					
2	100bp	49219156	49219255	0.00096	0.04605	ENSTGUG00000002613	0	intron	Histone deacetylase 9	HDAC9	+	+					+
2	50bp	49009962	49010008	0.00005	0.02399	ENSTGUG00000002613	0	intron	Histone deacetylase 9	HDAC9	+	+					+
3	100bp	104846876	104846999	0.00033	0.04016	ENSTGUG00000013163	0	intron	HCLS1-binding protein 3	HS1BP3	+	+					
4A	50bp	8821013	8821063	0.00008	0.03129	ENSTGUG00000003259	0	intron	X-linked interleukin-1 receptor accessory protein-like 2	Il1rapl2	+	+				+	+
1	100bp	95813172	95813261	0.00142	0.04644	ENSTGUG00000013414	2745	3'flanking	Immunoglobulin-like domain-containing receptor 1	ildr1							
19	50bp	9118760	9118790	0.00456	0.02883	ENSTGUG00000007739	0	intron	Integrator complex subunit 2	INTS2	+	+					
2	50bp	35556226	35556276	0.00776	0.04657	ENSTGUG00000001897	8867	3'flanking	Integrin alpha-9	ITGA9	+	+					+
2	50bp	53157287	53157342	0.00001	0.03478	ENSTGUG00000002953	0	intron	Juxtaposed with another zinc finger protein 1	JAZF1	+	+		+	+		+
5	100bp	55584753	55584848	0.00181	0.04834	ENSTGUG00000012967	0	intron	Potassium voltage-gated channel subfamily H member 5	KCNH5	+	+					+
13_random	50bp	1769480	1769530	0.00048	0.04394	ENSTGUG00000014900	0	intron	Kv channel-interacting protein 1	Kcnip1	+	+				+	
1	50bp	57261997	57262047	0.00001	0.00743	ENSTGUG00000012281	4954	5'flanking	Uncharacterized protein KIAA0226-like	KIAA0226L							
1A	50bp	58904215	58904265	0.00006	0.03048	ENSTGUG00000011616	0	intron	Protein LCHN	LCHN							
13	50bp	15688171	15688221	0.01189	0.04223	ENSTGUG00000001570	0	intron,CDS	Lymphocyte cytosolic protein 2	LCP2	+						
8	100bp	4794849	4794941	0.00047	0.02585	ENSTGUG00000004361	0	intron	LIM/homeobox protein Lhx9	LHX9	+	+					+
Z	100bp	29587864	29587964	0.00011	0.03107	ENSTGUG00000001404	0	CDS	Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2	LINGO2	+	+				+	
4	50bp	15333091	15333140	0.00041	0.04607	ENSTGUG00000002896	0	intron	Latrophilin-3	LPHN3	+	+	+	+		+	
7	100bp	34570063	34570168	0.00086	0.04314	ENSTGUG00000011849	0	intron	Low-density lipoprotein receptor-related protein 1B	LRP1B	+	+					
3	50bp	65534783	65534831	0.00008	0.02621	ENSTGUG00000011898	991	3'flanking	Leucine-rich repeat-containing protein 15	Lrrc15							
1	50bp	94715850	94715900	0.0003	0.03277	ENSTGUG00000013402	0	intron	Limbic system-associated membrane protein	LSAMP	+	+				+	+
1	50bp	94762832	94762878	0.00067	0.03717	ENSTGUG00000013402	0	intron	Limbic system-associated membrane protein	LSAMP	+	+				+	+
2	50bp	155483077	155483148	0.00001	0.01598	ENSTGUG00000012733	7602	5'flanking	Lymphocyte antigen 6E	LY6E	+	+					+
23	100bp	3128337	3128486	0.00002	0.00806	ENSTGUG00000001087	0	intron	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC	MAN1C1	+	+					+
23	50bp	3128384	3128437	0.00011	0.02465	ENSTGUG00000001087	0	intron	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC	MAN1C1	+	+					+
4	100bp	31257131	31257261	0.00194	0.03517	ENSTGUG00000005830	0	3'flanking,CDS	E3 ubiquitin-protein ligase MARCH1	MARCH1							
4A	50bp	7807447	7807497	0.00034	0.02548	ENSTGUG00000002999	0	intron	Muscleblind-like protein 3	MBNL3	+	+					+
9	100bp	18661502	18661640	0.0025	0.03605	ENSTGUG00000010484	0	intron	Guanine nucleotide exchange factor DBS	Mcf2l	+	+				+	
1A_random	50bp	607453	607501	0.00967	0.03701	ENSTGUG00000016292	0	intron	Meiosis inhibitor protein 1	MEI1	+	+					
3	50bp	34007099	34007144	0.00775	0.04139	ENSTGUG00000008460	0	intron	Protein MEMO1	MEMO1	+	+					
3	50bp	28967528	28967575	0.00105	0.03112	ENSTGUG00000007420	0	5'flanking,CDS	Tyrosine-protein kinase Mer	Mertk	+	+					
1	100bp	91731617	91731705	0.0032	0.02717	ENSTGUG00000013370	0	intron	Methyltransferase-like protein 16	METTL16							
4	50bp	7292375	7292425	0.00129	0.0392	ENSTGUG00000002084	0	CDS	Major facilitator superfamily domain-containing protein 8	MFSD8	+						
13	50bp	7260840	7260890	0.00242	0.03217	ENSTGUG00000001033	0	CDS	Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B	Mgat4b	+	+					+
12	50bp	9947796	9947860	0.00011	0.04388	ENSTGUG00000012701	0	intron	Monoglyceride lipase	MGLL	+	+			+		+
15	50bp	3338550	3338599	0.00046	0.01177	ENSTGUG00000006158	2592	5'flanking	MLX-interacting protein	Mlxip	+	+				+	+
2	100bp	130154446	130154545	0.00027	0.04352	ENSTGUG00000011786	0	intron	Matrix metalloproteinase-16	MMP16	+	+					
9	50bp	9010801	9010837	0.0005	0.03658	ENSTGUG00000007842	0	intron	2-acylglycerol O-acyltransferase 1	mogat1	+	+	+				+
1A	100bp	19359377	19359497	0.00141	0.04252	ENSTGUG00000003947	0	CDS	Putative helicase Mov10l1	MOV10L1							
2	50bp	145213846	145213895	0.00002	0.04999	ENSTGUG00000012488	0	intron	Metastasis suppressor protein 1	MTSS1	+	+					+
19	100bp	3755551	3755660	0.00155	0.04835	ENSTGUG00000003923	0	intron	Myb-binding protein 1A-like protein	mybbp1a	+	+					
19	50bp	3755559	3755611	0.00017	0.02073	ENSTGUG00000003923	0	intron	Myb-binding protein 1A-like protein	mybbp1a	+	+					
7	100bp	4764231	4764313	0.00233	0.03894	ENSTGUG00000004238	0	intron	Myosin light chain kinase, smooth muscle	MYLK	+	+					
14	100bp	9587812	9587886	0.00149	0.04367	ENSTGUG00000006791	0	intron	Cytosolic Fe-S cluster assembly factor NARFL	NARFL	+	+					
24	100bp	5740569	5740720	0.0001	0.04354	ENSTGUG00000000657	0	intron	Condensin-2 complex subunit D3	NCAPD3	+						
2	50bp	1557997	1558053	0.00026	0.01502	ENSTGUG00000000223	0	intron	Neurofilament heavy polypeptide	Nefh	+	+			+	+	+
9	50bp	6987566	6987609	0.00322	0.03196	ENSTGUG00000007310	0	intron	Ephexin-1	NGEF	+	+	+				+
3	50bp	45041340	45041412	0.00135	0.0485	ENSTGUG00000010336	0	intron	Nidogen-1	NID1	+	+					+
2	100bp	119855963	119856070	0.00457	0.03375	ENSTGUG00000011233	0	intron	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 3	Nkain3	+						
2	50bp	119856023	119856090	0.00039	0.03815	ENSTGUG00000011233	0	intron	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 3	Nkain3	+						
20	50bp	9719545	9719585	0.00243	0.01767	ENSTGUG00000007547	0	intron	Sodium/potassium-transporting ATPase subunit beta-1-interacting protein 4	nkain4	+	+			+		+
19	100bp	11020847	11020947	0.00932	0.04365	ENSTGUG00000008692	0	CDS	Serine/threonine-protein kinase NLK	NLK	+	+	+				+
21	50bp	5656562	5656612	0.00004	0.01887	ENSTGUG00000003958	0	intron	Nucleolar complex protein 2 homolog	NOC2L	+	+					
8_random	50bp	1100032	1100094	0.00248	0.04741	ENSTGUG00000017231	0	intron	Neurogenic locus notch homolog protein 2	NOTCH2	+	+					+
7	50bp	20720774	20720824	0.00042	0.03793	ENSTGUG00000009797	0	CDS	Neuropilin-2	Nrp2	+	+					
6	100bp	23106691	23106779	0.00086	0.04159	ENSTGUG00000010251	0	intron	Cytosolic purine 5'-nucleotidase	NT5C2	+	+					+
18	100bp	4371987	4372061	0.00002	0.04067	ENSTGUG00000005165	0	intron	Netrin-1	NTN1	+						
2	100bp	68048045	68048121	0.00001	0.04933	ENSTGUG00000005707	0	intron	Orofacial cleft 1 candidate gene 1 protein homolog	OFCC1							
17	50bp	8680755	8680784	0.00021	0.04236	ENSTGUG00000006000	6622	3'flanking	Noelin	OLFM1	+	+	+		+		+
1	100bp	59901590	59901690	0.00001	0.04797	ENSTGUG00000012456	0	intron	Olfactomedin-4	OLFM4							
26_random	100bp	209931	210021	0.00009	0.01927	ENSTGUG00000017463	5379	3'flanking	Opticin	OPTC							
17	50bp	3357799	3357859	0.00102	0.02749	ENSTGUG00000003260	0	intron	Pappalysin-1	Pappa							
6	100bp	16148845	16148945	0.00001	0.0322	ENSTGUG00000007620	0	intron	Paired box protein Pax-2	Pax2	+						
4A	50bp	2755975	2756032	0.00002	0.04346	ENSTGUG00000002396	0	intron	Protocadherin-11 X-linked	PCDH11X							
2	50bp	29587263	29587314	0.01197	0.02883	ENSTGUG00000001714	2518	5'flanking	Programmed cell death 6-interacting protein	PDCD6IP	+	+	+				
4	100bp	4658164	4658267	0.00009	0.04656	ENSTGUG00000001899	0	intron	cGMP-specific 3',5'-cyclic phosphodiesterase	PDE5A	+	+				+	+
1	100bp	76328469	76328565	0.00102	0.02204	ENSTGUG00000012693	0	intron	Platelet-derived growth factor D	PDGFD							
9	50bp	19903371	19903434	0.00008	0.03243	ENSTGUG00000010602	0	intron	PEX5-related protein	PEX5L	+	+				+	+
4	100bp	7524147	7524259	0.00003	0.03808	ENSTGUG00000002104	1894	3'flanking	Protein Jade-1	PHF17	+	+					
15	50bp	8832441	8832485	0.00118	0.03953	ENSTGUG00000008700	0	intron	Phosphatidylinositol 4-kinase alpha	PI4KA	+	+					
